rival_rates,rival_coach_times,rival_coach_rates,rival_wl,rst,host_guest,days,game_month,wins,loss,win_rates,coach_off_times,coach_wins_rate,coach_champions
0.8170000000000001,9,67.4,52,负,客,2,1,62,20,0.7559999999999999,21,63.6,5
0.8170000000000001,9,67.4,52,负,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.695,18,55.7,32,胜,客,1,12,62,20,0.7559999999999999,21,63.6,5
0.695,18,55.7,32,胜,主,3,1,62,20,0.7559999999999999,21,63.6,5
0.659,2,43.0,26,胜,主,1,1,62,20,0.7559999999999999,21,63.6,5
0.659,2,43.0,26,胜,客,2,2,62,20,0.7559999999999999,21,63.6,5
0.61,11,54.9,18,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.61,11,54.9,18,负,客,1,2,62,20,0.7559999999999999,21,63.6,5
0.561,12,59.3,10,胜,主,2,12,62,20,0.7559999999999999,21,63.6,5
0.561,12,59.3,10,负,客,3,1,62,20,0.7559999999999999,21,63.6,5
0.476,1,36.3,-4,胜,主,2,11,62,20,0.7559999999999999,21,63.6,5
0.476,1,36.3,-4,负,客,2,2,62,20,0.7559999999999999,21,63.6,5
0.476,10,47.7,-4,胜,客,1,12,62,20,0.7559999999999999,21,63.6,5
0.476,10,47.7,-4,胜,主,2,1,62,20,0.7559999999999999,21,63.6,5
0.366,6,53.5,-22,胜,主,2,12,62,20,0.7559999999999999,21,63.6,5
0.366,6,53.5,-22,胜,客,1,1,62,20,0.7559999999999999,21,63.6,5
0.354,22,58.8,-24,负,主,3,11,62,20,0.7559999999999999,21,63.6,5
0.354,22,58.8,-24,胜,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.317,1,34.5,-30,胜,主,2,1,62,20,0.7559999999999999,21,63.6,5
0.317,1,34.5,-30,胜,客,3,2,62,20,0.7559999999999999,21,63.6,5
0.28,6,46.1,-36,胜,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.28,6,46.1,-36,负,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.622,13,46.0,20,胜,主,2,12,62,20,0.7559999999999999,21,63.6,5
0.622,13,46.0,20,胜,客,2,2,62,20,0.7559999999999999,21,63.6,5
0.622,13,46.0,20,胜,主,3,3,62,20,0.7559999999999999,21,63.6,5
0.622,13,46.0,20,负,客,3,4,62,20,0.7559999999999999,21,63.6,5
0.622,13,46.0,20,胜,主,2,4,62,20,0.7559999999999999,21,63.6,5
0.573,12,54.3,12,胜,主,1,11,62,20,0.7559999999999999,21,63.6,5
0.573,12,54.3,12,负,客,1,11,62,20,0.7559999999999999,21,63.6,5
0.573,12,54.3,12,负,客,1,12,62,20,0.7559999999999999,21,63.6,5
0.573,12,54.3,12,负,主,1,1,62,20,0.7559999999999999,21,63.6,5
0.573,12,54.3,12,胜,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.512,5,48.5,2,胜,客,2,11,62,20,0.7559999999999999,21,63.6,5
0.512,5,48.5,2,胜,主,4,11,62,20,0.7559999999999999,21,63.6,5
0.512,5,48.5,2,胜,客,3,12,62,20,0.7559999999999999,21,63.6,5
0.512,5,48.5,2,胜,主,5,1,62,20,0.7559999999999999,21,63.6,5
0.512,5,48.5,2,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.488,16,52.5,-2,胜,主,2,11,62,20,0.7559999999999999,21,63.6,5
0.488,16,52.5,-2,胜,客,2,11,62,20,0.7559999999999999,21,63.6,5
0.488,16,52.5,-2,胜,主,3,1,62,20,0.7559999999999999,21,63.6,5
0.488,16,52.5,-2,胜,客,2,1,62,20,0.7559999999999999,21,63.6,5
0.488,16,52.5,-2,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.488,16,52.5,-2,胜,客,2,4,62,20,0.7559999999999999,21,63.6,5
0.451,2,43.5,-8,胜,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.451,2,43.5,-8,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.451,2,43.5,-8,胜,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.451,2,43.5,-8,胜,主,2,4,62,20,0.7559999999999999,21,63.6,5
0.451,2,43.5,-8,胜,客,2,4,62,20,0.7559999999999999,21,63.6,5
0.4270000000000001,12,51.8,-12,胜,客,1,10,62,20,0.7559999999999999,21,63.6,5
0.4270000000000001,12,51.8,-12,胜,主,1,11,62,20,0.7559999999999999,21,63.6,5
0.4270000000000001,12,51.8,-12,负,客,5,12,62,20,0.7559999999999999,21,63.6,5
0.4270000000000001,12,51.8,-12,胜,客,2,3,62,20,0.7559999999999999,21,63.6,5
0.4270000000000001,12,51.8,-12,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.39,3,40.6,-18,胜,客,1,11,62,20,0.7559999999999999,21,63.6,5
0.39,3,40.6,-18,胜,主,3,11,62,20,0.7559999999999999,21,63.6,5
0.39,3,40.6,-18,胜,主,2,1,62,20,0.7559999999999999,21,63.6,5
0.39,3,40.6,-18,负,客,2,1,62,20,0.7559999999999999,21,63.6,5
0.39,3,40.6,-18,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.39,3,40.6,-18,负,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.39,11,51.8,-18,胜,客,2,10,62,20,0.7559999999999999,21,63.6,5
0.39,11,51.8,-18,胜,主,4,12,62,20,0.7559999999999999,21,63.6,5
0.39,11,51.8,-18,胜,主,3,1,62,20,0.7559999999999999,21,63.6,5
0.39,11,51.8,-18,胜,客,1,2,62,20,0.7559999999999999,21,63.6,5
0.39,11,51.8,-18,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.39,11,51.8,-18,负,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.378,5,44.7,-20,胜,主,5,11,62,20,0.7559999999999999,21,63.6,5
0.378,5,44.7,-20,负,客,1,1,62,20,0.7559999999999999,21,63.6,5
0.378,5,44.7,-20,胜,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.378,5,44.7,-20,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.378,5,44.7,-20,负,客,4,3,62,20,0.7559999999999999,21,63.6,5
0.378,5,44.7,-20,胜,主,2,4,62,20,0.7559999999999999,21,63.6,5
0.366,0,35.6,-22,胜,客,2,11,62,20,0.7559999999999999,21,63.6,5
0.366,0,35.6,-22,负,主,1,12,62,20,0.7559999999999999,21,63.6,5
0.366,0,35.6,-22,负,客,5,2,62,20,0.7559999999999999,21,63.6,5
0.366,0,35.6,-22,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.366,0,35.6,-22,胜,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.366,0,35.6,-22,胜,主,1,3,62,20,0.7559999999999999,21,63.6,5
0.72,9,67.4,36,胜,客,2,12,65,17,0.7929999999999999,21,63.6,5
0.72,9,67.4,36,胜,主,2,2,65,17,0.7929999999999999,21,63.6,5
0.695,11,54.9,32,负,主,2,11,65,17,0.7929999999999999,21,63.6,5
0.695,11,54.9,32,胜,客,2,1,65,17,0.7929999999999999,21,63.6,5
0.634,12,59.3,22,负,客,1,12,65,17,0.7929999999999999,21,63.6,5
0.634,12,59.3,22,胜,主,2,3,65,17,0.7929999999999999,21,63.6,5
0.61,18,55.7,18,胜,主,2,11,65,17,0.7929999999999999,21,63.6,5
0.61,18,55.7,18,负,客,1,12,65,17,0.7929999999999999,21,63.6,5
0.5489999999999999,2,43.0,8,胜,主,2,12,65,17,0.7929999999999999,21,63.6,5
0.5489999999999999,2,43.0,8,胜,客,2,2,65,17,0.7929999999999999,21,63.6,5
0.512,8,41.7,2,胜,客,3,1,65,17,0.7929999999999999,21,63.6,5
0.512,8,41.7,2,负,主,2,2,65,17,0.7929999999999999,21,63.6,5
0.5,16,52.5,0,胜,客,1,1,65,17,0.7929999999999999,21,63.6,5
0.5,16,52.5,0,胜,主,3,2,65,17,0.7929999999999999,21,63.6,5
0.488,7,52.1,-2,胜,主,2,11,65,17,0.7929999999999999,21,63.6,5
0.488,7,52.1,-2,胜,客,2,2,65,17,0.7929999999999999,21,63.6,5
0.378,20,53.6,-20,胜,客,3,12,65,17,0.7929999999999999,21,63.6,5
0.378,20,53.6,-20,胜,主,3,3,65,17,0.7929999999999999,21,63.6,5
0.293,1,36.3,-34,胜,主,2,11,65,17,0.7929999999999999,21,63.6,5
0.293,1,36.3,-34,胜,客,1,1,65,17,0.7929999999999999,21,63.6,5
0.293,6,46.1,-34,胜,主,2,11,65,17,0.7929999999999999,21,63.6,5
0.293,6,46.1,-34,胜,客,2,12,65,17,0.7929999999999999,21,63.6,5
0.598,2,53.0,16,胜,主,2,12,65,17,0.7929999999999999,21,63.6,5
0.598,2,53.0,16,胜,客,4,1,65,17,0.7929999999999999,21,63.6,5
0.598,2,53.0,16,胜,主,3,1,65,17,0.7929999999999999,21,63.6,5
0.598,2,53.0,16,负,客,1,2,65,17,0.7929999999999999,21,63.6,5
0.598,2,53.0,16,胜,主,2,3,65,17,0.7929999999999999,21,63.6,5
0.598,2,53.0,16,胜,客,1,4,65,17,0.7929999999999999,21,63.6,5
0.537,5,48.5,6,胜,主,2,1,65,17,0.7929999999999999,21,63.6,5
0.537,5,48.5,6,负,客,1,1,65,17,0.7929999999999999,21,63.6,5
0.537,5,48.5,6,负,客,1,2,65,17,0.7929999999999999,21,63.6,5
0.537,5,48.5,6,胜,主,3,3,65,17,0.7929999999999999,21,63.6,5
0.537,5,48.5,6,胜,客,4,4,65,17,0.7929999999999999,21,63.6,5
0.512,22,58.8,2,负,客,4,12,65,17,0.7929999999999999,21,63.6,5
0.512,22,58.8,2,胜,主,2,12,65,17,0.7929999999999999,21,63.6,5
0.512,22,58.8,2,负,客,2,1,65,17,0.7929999999999999,21,63.6,5
0.512,22,58.8,2,胜,主,4,1,65,17,0.7929999999999999,21,63.6,5
0.512,22,58.8,2,胜,主,2,2,65,17,0.7929999999999999,21,63.6,5
0.512,22,58.8,2,胜,客,3,3,65,17,0.7929999999999999,21,63.6,5
0.512,13,46.0,2,负,客,202,11,65,17,0.7929999999999999,21,63.6,5
0.512,13,46.0,2,胜,客,1,12,65,17,0.7929999999999999,21,63.6,5
0.512,13,46.0,2,胜,主,3,12,65,17,0.7929999999999999,21,63.6,5
0.512,13,46.0,2,胜,客,2,3,65,17,0.7929999999999999,21,63.6,5
0.512,13,46.0,2,胜,主,3,3,65,17,0.7929999999999999,21,63.6,5
0.476,5,44.7,-4,胜,客,3,11,65,17,0.7929999999999999,21,63.6,5
0.476,5,44.7,-4,胜,主,3,11,65,17,0.7929999999999999,21,63.6,5
0.476,5,44.7,-4,负,客,1,1,65,17,0.7929999999999999,21,63.6,5
0.476,5,44.7,-4,胜,主,1,3,65,17,0.7929999999999999,21,63.6,5
0.476,5,44.7,-4,胜,客,2,4,65,17,0.7929999999999999,21,63.6,5
0.476,5,44.7,-4,负,主,2,4,65,17,0.7929999999999999,21,63.6,5
0.451,12,54.3,-8,胜,主,3,11,65,17,0.7929999999999999,21,63.6,5
0.451,12,54.3,-8,胜,主,3,1,65,17,0.7929999999999999,21,63.6,5
0.451,12,54.3,-8,胜,客,1,2,65,17,0.7929999999999999,21,63.6,5
0.451,12,54.3,-8,胜,主,1,3,65,17,0.7929999999999999,21,63.6,5
0.451,12,54.3,-8,胜,客,2,4,65,17,0.7929999999999999,21,63.6,5
0.439,11,51.8,-10,胜,主,1,1,65,17,0.7929999999999999,21,63.6,5
0.439,11,51.8,-10,胜,客,2,1,65,17,0.7929999999999999,21,63.6,5
0.439,11,51.8,-10,胜,客,2,2,65,17,0.7929999999999999,21,63.6,5
0.439,11,51.8,-10,胜,主,1,2,65,17,0.7929999999999999,21,63.6,5
0.439,11,51.8,-10,负,客,2,3,65,17,0.7929999999999999,21,63.6,5
0.439,11,51.8,-10,胜,主,2,4,65,17,0.7929999999999999,21,63.6,5
0.354,2,43.5,-24,胜,主,4,11,65,17,0.7929999999999999,21,63.6,5
0.354,2,43.5,-24,胜,客,2,12,65,17,0.7929999999999999,21,63.6,5
0.354,2,43.5,-24,胜,主,2,2,65,17,0.7929999999999999,21,63.6,5
0.354,2,43.5,-24,胜,客,5,2,65,17,0.7929999999999999,21,63.6,5
0.354,2,43.5,-24,胜,主,2,3,65,17,0.7929999999999999,21,63.6,5
0.341,3,42.7,-26,胜,客,1,11,65,17,0.7929999999999999,21,63.6,5
0.341,3,42.7,-26,胜,主,1,1,65,17,0.7929999999999999,21,63.6,5
0.341,3,42.7,-26,胜,主,2,3,65,17,0.7929999999999999,21,63.6,5
0.341,3,42.7,-26,胜,主,1,4,65,17,0.7929999999999999,21,63.6,5
0.341,3,42.7,-26,负,客,1,4,65,17,0.7929999999999999,21,63.6,5
0.146,3,40.6,-58,胜,客,1,11,65,17,0.7929999999999999,21,63.6,5
0.146,3,40.6,-58,胜,主,2,11,65,17,0.7929999999999999,21,63.6,5
0.146,3,40.6,-58,胜,客,2,3,65,17,0.7929999999999999,21,63.6,5
0.146,3,40.6,-58,胜,主,3,3,65,17,0.7929999999999999,21,63.6,5
0.146,3,40.6,-58,胜,主,1,4,65,17,0.7929999999999999,21,63.6,5
0.146,3,40.6,-58,胜,客,3,4,65,17,0.7929999999999999,21,63.6,5
0.695,9,67.4,32,胜,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.695,9,67.4,32,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.659,12,59.3,26,胜,客,2,1,62,20,0.7559999999999999,21,63.6,5
0.659,12,59.3,26,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.61,11,54.9,18,胜,主,1,1,62,20,0.7559999999999999,21,63.6,5
0.61,11,54.9,18,胜,客,1,2,62,20,0.7559999999999999,21,63.6,5
0.61,7,52.1,18,胜,主,4,2,62,20,0.7559999999999999,21,63.6,5
0.61,7,52.1,18,负,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.512,20,53.6,2,负,客,1,12,62,20,0.7559999999999999,21,63.6,5
0.512,20,53.6,2,胜,主,2,12,62,20,0.7559999999999999,21,63.6,5
0.512,11,54.9,2,负,主,2,11,62,20,0.7559999999999999,21,63.6,5
0.512,11,54.9,2,负,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.463,16,52.5,-6,胜,客,1,1,62,20,0.7559999999999999,21,63.6,5
0.463,16,52.5,-6,负,主,5,2,62,20,0.7559999999999999,21,63.6,5
0.463,2,46.6,-6,胜,主,1,1,62,20,0.7559999999999999,21,63.6,5
0.463,2,46.6,-6,胜,客,2,3,62,20,0.7559999999999999,21,63.6,5
0.463,8,41.7,-6,负,客,1,12,62,20,0.7559999999999999,21,63.6,5
0.463,8,41.7,-6,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.439,2,43.0,-10,胜,主,3,12,62,20,0.7559999999999999,21,63.6,5
0.439,2,43.0,-10,胜,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.232,1,36.3,-44,胜,客,3,12,62,20,0.7559999999999999,21,63.6,5
0.232,1,36.3,-44,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.659,12,54.3,26,胜,主,3,11,62,20,0.7559999999999999,21,63.6,5
0.659,12,54.3,26,负,客,3,1,62,20,0.7559999999999999,21,63.6,5
0.659,12,54.3,26,胜,客,2,2,62,20,0.7559999999999999,21,63.6,5
0.659,12,54.3,26,负,主,3,3,62,20,0.7559999999999999,21,63.6,5
0.659,12,54.3,26,负,客,1,4,62,20,0.7559999999999999,21,63.6,5
0.6459999999999999,2,53.0,24,胜,主,2,11,62,20,0.7559999999999999,21,63.6,5
0.6459999999999999,2,53.0,24,负,主,1,12,62,20,0.7559999999999999,21,63.6,5
0.6459999999999999,2,53.0,24,胜,客,5,1,62,20,0.7559999999999999,21,63.6,5
0.6459999999999999,2,53.0,24,负,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.6459999999999999,2,53.0,24,负,客,1,4,62,20,0.7559999999999999,21,63.6,5
0.6459999999999999,2,53.0,24,胜,主,3,4,62,20,0.7559999999999999,21,63.6,5
0.573,5,48.5,12,胜,客,3,12,62,20,0.7559999999999999,21,63.6,5
0.573,5,48.5,12,胜,主,2,1,62,20,0.7559999999999999,21,63.6,5
0.573,5,48.5,12,胜,主,3,2,62,20,0.7559999999999999,21,63.6,5
0.573,5,48.5,12,胜,主,3,3,62,20,0.7559999999999999,21,63.6,5
0.573,5,48.5,12,负,客,4,4,62,20,0.7559999999999999,21,63.6,5
0.561,13,46.0,10,胜,主,2,11,62,20,0.7559999999999999,21,63.6,5
0.561,13,46.0,10,胜,主,2,1,62,20,0.7559999999999999,21,63.6,5
0.561,13,46.0,10,胜,客,2,2,62,20,0.7559999999999999,21,63.6,5
0.561,13,46.0,10,胜,主,2,3,62,20,0.7559999999999999,21,63.6,5
0.561,13,46.0,10,负,客,2,4,62,20,0.7559999999999999,21,63.6,5
0.537,5,44.7,6,胜,主,201,11,62,20,0.7559999999999999,21,63.6,5
0.537,5,44.7,6,负,客,2,11,62,20,0.7559999999999999,21,63.6,5
0.537,5,44.7,6,胜,主,1,12,62,20,0.7559999999999999,21,63.6,5
0.537,5,44.7,6,胜,客,2,1,62,20,0.7559999999999999,21,63.6,5
0.537,5,44.7,6,负,客,2,3,62,20,0.7559999999999999,21,63.6,5
0.537,5,44.7,6,胜,主,2,4,62,20,0.7559999999999999,21,63.6,5
0.378,3,42.7,-20,胜,客,2,11,62,20,0.7559999999999999,21,63.6,5
0.378,3,42.7,-20,胜,主,1,11,62,20,0.7559999999999999,21,63.6,5
0.378,3,42.7,-20,胜,主,1,1,62,20,0.7559999999999999,21,63.6,5
0.378,3,42.7,-20,胜,客,1,2,62,20,0.7559999999999999,21,63.6,5
0.378,3,42.7,-20,胜,客,2,4,62,20,0.7559999999999999,21,63.6,5
0.341,0,34.1,-26,胜,主,2,12,62,20,0.7559999999999999,21,63.6,5
0.341,0,34.1,-26,胜,客,3,1,62,20,0.7559999999999999,21,63.6,5
0.341,0,34.1,-26,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.341,0,34.1,-26,负,客,4,3,62,20,0.7559999999999999,21,63.6,5
0.341,0,34.1,-26,胜,主,2,4,62,20,0.7559999999999999,21,63.6,5
0.341,0,34.1,-26,胜,客,2,4,62,20,0.7559999999999999,21,63.6,5
0.293,5,54.0,-34,胜,客,4,12,62,20,0.7559999999999999,21,63.6,5
0.293,5,54.0,-34,胜,主,3,12,62,20,0.7559999999999999,21,63.6,5
0.293,5,54.0,-34,胜,客,2,1,62,20,0.7559999999999999,21,63.6,5
0.293,5,54.0,-34,负,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.293,5,54.0,-34,胜,主,1,4,62,20,0.7559999999999999,21,63.6,5
0.244,22,58.8,-42,胜,客,2,11,62,20,0.7559999999999999,21,63.6,5
0.244,22,58.8,-42,胜,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.244,22,58.8,-42,胜,主,3,1,62,20,0.7559999999999999,21,63.6,5
0.244,22,58.8,-42,胜,主,3,3,62,20,0.7559999999999999,21,63.6,5
0.244,22,58.8,-42,胜,客,1,3,62,20,0.7559999999999999,21,63.6,5
0.244,22,58.8,-42,胜,主,2,4,62,20,0.7559999999999999,21,63.6,5
0.207,10,47.7,-48,胜,主,2,11,62,20,0.7559999999999999,21,63.6,5
0.207,10,47.7,-48,胜,客,2,12,62,20,0.7559999999999999,21,63.6,5
0.207,10,47.7,-48,负,客,1,1,62,20,0.7559999999999999,21,63.6,5
0.207,10,47.7,-48,胜,客,2,2,62,20,0.7559999999999999,21,63.6,5
0.207,10,47.7,-48,胜,主,2,2,62,20,0.7559999999999999,21,63.6,5
0.207,10,47.7,-48,胜,主,3,4,62,20,0.7559999999999999,21,63.6,5
0.768,12,59.3,44,负,客,3,11,57,25,0.695,21,63.6,5
0.768,12,59.3,44,负,主,6,2,57,25,0.695,21,63.6,5
0.695,20,53.6,32,胜,客,2,12,57,25,0.695,21,63.6,5
0.695,20,53.6,32,胜,主,3,1,57,25,0.695,21,63.6,5
0.634,11,54.9,22,胜,客,2,3,57,25,0.695,21,63.6,5
0.634,11,54.9,22,负,主,2,3,57,25,0.695,21,63.6,5
0.634,2,46.6,22,胜,客,4,11,57,25,0.695,21,63.6,5
0.634,2,46.6,22,负,主,4,1,57,25,0.695,21,63.6,5
0.598,11,54.9,16,负,客,1,12,57,25,0.695,21,63.6,5
0.598,11,54.9,16,胜,主,1,4,57,25,0.695,21,63.6,5
0.573,7,52.1,12,负,客,2,12,57,25,0.695,21,63.6,5
0.573,7,52.1,12,负,主,2,3,57,25,0.695,21,63.6,5
0.561,3,45.6,10,胜,客,2,11,57,25,0.695,21,63.6,5
0.561,3,45.6,10,胜,主,2,12,57,25,0.695,21,63.6,5
0.512,2,41.8,2,负,客,2,12,57,25,0.695,21,63.6,5
0.512,2,41.8,2,胜,主,3,2,57,25,0.695,21,63.6,5
0.488,1,36.9,-2,胜,主,2,12,57,25,0.695,21,63.6,5
0.488,1,36.9,-2,负,客,2,12,57,25,0.695,21,63.6,5
0.341,16,52.5,-26,胜,客,3,12,57,25,0.695,21,63.6,5
0.341,16,52.5,-26,胜,主,2,3,57,25,0.695,21,63.6,5
0.317,1,39.8,-30,负,客,1,12,57,25,0.695,21,63.6,5
0.317,1,39.8,-30,胜,主,2,2,57,25,0.695,21,63.6,5
0.244,0,23.0,-42,胜,主,3,1,57,25,0.695,21,63.6,5
0.244,0,23.0,-42,胜,客,2,3,57,25,0.695,21,63.6,5
0.183,0,29.6,-52,胜,客,1,11,57,25,0.695,21,63.6,5
0.183,0,29.6,-52,胜,主,2,1,57,25,0.695,21,63.6,5
0.183,0,29.6,-52,胜,客,1,3,57,25,0.695,21,63.6,5
0.183,0,29.6,-52,胜,主,1,4,57,25,0.695,21,63.6,5
0.6709999999999999,12,51.8,28,胜,主,1,12,57,25,0.695,21,63.6,5
0.6709999999999999,12,51.8,28,负,客,1,12,57,25,0.695,21,63.6,5
0.6709999999999999,12,51.8,28,负,客,1,2,57,25,0.695,21,63.6,5
0.6709999999999999,12,51.8,28,胜,主,2,2,57,25,0.695,21,63.6,5
0.6709999999999999,12,51.8,28,胜,主,3,3,57,25,0.695,21,63.6,5
0.6709999999999999,12,51.8,28,负,客,2,3,57,25,0.695,21,63.6,5
0.622,5,48.5,20,胜,主,2,12,57,25,0.695,21,63.6,5
0.622,5,48.5,20,负,客,2,12,57,25,0.695,21,63.6,5
0.622,5,48.5,20,负,客,2,2,57,25,0.695,21,63.6,5
0.622,5,48.5,20,负,主,3,4,57,25,0.695,21,63.6,5
0.573,5,44.7,12,胜,主,2,11,57,25,0.695,21,63.6,5
0.573,5,44.7,12,负,客,2,11,57,25,0.695,21,63.6,5
0.573,5,44.7,12,胜,主,2,11,57,25,0.695,21,63.6,5
0.573,5,44.7,12,负,客,4,1,57,25,0.695,21,63.6,5
0.573,5,44.7,12,胜,客,2,4,57,25,0.695,21,63.6,5
0.573,5,44.7,12,胜,主,2,4,57,25,0.695,21,63.6,5
0.5489999999999999,3,40.6,8,胜,主,1,1,57,25,0.695,21,63.6,5
0.5489999999999999,3,40.6,8,胜,客,2,1,57,25,0.695,21,63.6,5
0.5489999999999999,3,40.6,8,负,客,2,3,57,25,0.695,21,63.6,5
0.5489999999999999,3,40.6,8,胜,主,1,3,57,25,0.695,21,63.6,5
0.537,12,54.3,6,胜,主,1,11,57,25,0.695,21,63.6,5
0.537,12,54.3,6,胜,客,4,11,57,25,0.695,21,63.6,5
0.537,12,54.3,6,负,客,2,4,57,25,0.695,21,63.6,5
0.537,12,54.3,6,胜,主,2,4,57,25,0.695,21,63.6,5
0.524,18,55.7,4,胜,客,3,11,57,25,0.695,21,63.6,5
0.524,18,55.7,4,负,主,3,2,57,25,0.695,21,63.6,5
0.524,18,55.7,4,胜,主,3,3,57,25,0.695,21,63.6,5
0.524,18,55.7,4,胜,客,2,3,57,25,0.695,21,63.6,5
0.524,18,55.7,4,负,客,1,4,57,25,0.695,21,63.6,5
0.476,2,53.0,-4,胜,主,1,11,57,25,0.695,21,63.6,5
0.476,2,53.0,-4,胜,主,1,1,57,25,0.695,21,63.6,5
0.476,2,53.0,-4,胜,主,2,2,57,25,0.695,21,63.6,5
0.476,2,53.0,-4,胜,客,2,2,57,25,0.695,21,63.6,5
0.476,2,53.0,-4,胜,客,1,4,57,25,0.695,21,63.6,5
0.329,0,32.9,-28,胜,主,3,12,57,25,0.695,21,63.6,5
0.329,0,32.9,-28,负,客,2,1,57,25,0.695,21,63.6,5
0.329,0,32.9,-28,胜,客,1,2,57,25,0.695,21,63.6,5
0.329,0,32.9,-28,胜,主,2,2,57,25,0.695,21,63.6,5
0.329,0,32.9,-28,胜,客,2,3,57,25,0.695,21,63.6,5
0.329,0,32.9,-28,胜,主,2,4,57,25,0.695,21,63.6,5
0.256,10,47.7,-40,胜,客,2,12,57,25,0.695,21,63.6,5
0.256,10,47.7,-40,胜,主,2,12,57,25,0.695,21,63.6,5
0.256,10,47.7,-40,胜,客,2,1,57,25,0.695,21,63.6,5
0.256,10,47.7,-40,胜,主,2,1,57,25,0.695,21,63.6,5
0.256,10,47.7,-40,胜,主,2,4,57,25,0.695,21,63.6,5
0.256,10,47.7,-40,负,客,3,4,57,25,0.695,21,63.6,5
0.256,18,54.8,-40,负,客,1,11,57,25,0.695,21,63.6,5
0.256,18,54.8,-40,胜,主,2,1,57,25,0.695,21,63.6,5
0.256,18,54.8,-40,胜,主,2,3,57,25,0.695,21,63.6,5
0.256,18,54.8,-40,胜,客,2,4,57,25,0.695,21,63.6,5
0.72,12,59.3,36,负,主,1,12,63,19,0.768,21,63.6,5
0.72,12,59.3,36,胜,客,2,1,63,19,0.768,21,63.6,5
0.6709999999999999,20,70.4,28,负,客,3,12,63,19,0.768,21,63.6,5
0.6709999999999999,20,70.4,28,胜,主,1,2,63,19,0.768,21,63.6,5
0.6459999999999999,3,45.6,24,胜,主,2,2,63,19,0.768,21,63.6,5
0.6459999999999999,3,45.6,24,负,客,2,3,63,19,0.768,21,63.6,5
0.634,2,41.8,22,胜,客,2,12,63,19,0.768,21,63.6,5
0.634,2,41.8,22,胜,主,3,2,63,19,0.768,21,63.6,5
0.5489999999999999,1,42.6,8,胜,主,2,12,63,19,0.768,21,63.6,5
0.5489999999999999,1,42.6,8,胜,客,2,1,63,19,0.768,21,63.6,5
0.537,11,54.9,6,负,客,2,1,63,19,0.768,21,63.6,5
0.537,11,54.9,6,胜,主,2,1,63,19,0.768,21,63.6,5
0.512,20,53.6,2,胜,主,2,3,63,19,0.768,21,63.6,5
0.512,20,53.6,2,负,客,1,3,63,19,0.768,21,63.6,5
0.512,1,45.6,2,胜,主,3,11,63,19,0.768,21,63.6,5
0.512,1,45.6,2,胜,客,1,1,63,19,0.768,21,63.6,5
0.5,11,54.9,0,胜,主,3,2,63,19,0.768,21,63.6,5
0.5,11,54.9,0,胜,客,2,3,63,19,0.768,21,63.6,5
0.378,1,36.9,-20,胜,主,2,11,63,19,0.768,21,63.6,5
0.378,1,36.9,-20,负,客,2,12,63,19,0.768,21,63.6,5
0.232,0,23.0,-44,胜,主,1,11,63,19,0.768,21,63.6,5
0.232,0,23.0,-44,胜,客,2,12,63,19,0.768,21,63.6,5
0.232,0,23.0,-44,胜,客,1,3,63,19,0.768,21,63.6,5
0.232,0,23.0,-44,胜,主,3,3,63,19,0.768,21,63.6,5
0.22,2,43.0,-46,负,客,1,12,63,19,0.768,21,63.6,5
0.22,2,43.0,-46,胜,主,1,1,63,19,0.768,21,63.6,5
0.22,0,29.6,-46,胜,客,1,12,63,19,0.768,21,63.6,5
0.22,0,29.6,-46,胜,主,1,1,63,19,0.768,21,63.6,5
0.207,13,46.0,-48,胜,客,1,12,63,19,0.768,21,63.6,5
